autor,campus,grau,degree_cent,betweenness,closeness,eigenvector,pagerank
ALESSANDRO SIQUEIRA DA SILVA,CÂMPUS URUAÇU,2,0.0024813895781637717,0.0,0.08118137660357774,7.2193499610874535e-09,0.0009679516563486327
LUCAS DINIZ DA SILVA MORAIS,CÂMPUS SENADOR CANEDO,2,0.0024813895781637717,0.0003207030285772023,0.13738818522333793,0.004247549634722739,0.00031332457124341935
ADEL FERNANDO DE ALMEIDA VANNY,CÂMPUS INHUMAS,1,0.0012406947890818859,0.0,0.10369528302925035,2.5014105417303786e-09,0.0005251494035973755
ALINE MENDONCA PASCOAL SANTOS,CÂMPUS GOIÂNIA,1,0.0012406947890818859,0.0,0.13053005578033386,5.384485947624603e-07,0.0003222597008826171
RODRIGO CANDIDO BORGES,CÂMPUS INHUMAS,5,0.006203473945409429,0.0004788722310318094,0.1403970398626339,4.205205935321602e-06,0.0009859879672972126
KARIME CHAIBUE,CÂMPUS GOIÂNIA,1,0.0012406947890818859,0.0,0.08781794517258432,4.755806179838444e-15,0.0006587031882500671
THIAGO CARDOSO AGUIAR,CÂMPUS APARECIDA DE GOIÂNIA,5,0.006203473945409429,0.001741596412003144,0.10034436249712614,3.4196549910849704e-13,0.0016687370617038035
DANIEL DE ALMEIDA SOARES,CÂMPUS LUZIÂNIA,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
D. A. Soares,CÂMPUS INHUMAS,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
ELIZABETE DE PAULA PACHECO,CÂMPUS ITUMBIARA,2,0.0024813895781637717,6.10982699191012e-05,0.10149745144308392,1.090434252768216e-08,0.00031408221218838197
ERIKA MARINHO WITEZE,CÂMPUS ANÁPOLIS,2,0.0024813895781637717,0.00033000059447665106,0.13196016595322596,3.5596549559576254e-09,0.0005657516506771384
JACQUELINE DE OLIVEIRA VEIGA IGLESIAS,CÂMPUS GOIÂNIA OESTE,2,0.0024813895781637717,2.5687262713910674e-05,0.12210876185902199,1.4123687478892828e-09,0.0005762315000153477
NARRIMA TAYANE DE SOUZA FARIAS DANTAS,CÂMPUS URUAÇU,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
Francione Neris de Sousa,CÂMPUS FORMOSA,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
Taynara Alvares Martins,CÂMPUS INHUMAS,2,0.0024813895781637717,0.0,0.08487380308586731,3.804149248666692e-12,0.0005205097626494786
ANARIELE MARIA MINOSSO,CÂMPUS SENADOR CANEDO,3,0.0037220843672456576,3.236595101952746e-05,0.10036970198260521,5.4989784109417825e-06,0.0006898966352620528
SONIA JULIA OLIVEIRA DE SOUZA,CÂMPUS INHUMAS,1,0.0012406947890818859,0.0,0.12351274700158998,0.00030458826744106295,0.0002687520354486703
MARILENE ANTONIA DOS SANTOS MUNIZ,CÂMPUS FORMOSA,1,0.0012406947890818859,0.0,0.002835873803615739,2.230584442180925e-28,0.0008083170436410517
MARCO ANTONIO OLIVEIRA LIMA,CÂMPUS ÁGUAS LINDAS DE GOIÁS,1,0.0012406947890818859,0.0,0.0016542597187758478,5.232446452666228e-28,0.0006965781931534234
JULIANA MORAES FRANZAO,CÂMPUS ITUMBIARA,2,0.0024813895781637717,0.0,0.10889425201400456,6.679890270883926e-08,0.0003696475472178799
Marlene Ribeiro da Silva Graciano,REITORIA,1,0.0012406947890818859,0.0,0.10570851591785017,5.8284944761202666e-08,0.00030441926773999283
CLOVIS HENRIQUE LEITE DE SOUZA,CÂMPUS FORMOSA,2,0.0024813895781637717,0.0,0.11142809639784597,2.4885975079687217e-11,0.000806605909944529
MICHEL MARQUES DE LIMA,CÂMPUS URUAÇU,1,0.0012406947890818859,0.0,0.10402094212277324,1.8433623435910924e-11,0.0004983628771216901
VANIA CLAUDIA GUIMARAES,CÂMPUS URUAÇU,3,0.0037220843672456576,0.0023174696599938967,0.08770168134402397,1.2601752809644905e-12,0.0012025048100049412
CINTHYA OLIVEIRA SOUSA,CÂMPUS URUAÇU,2,0.0024813895781637717,0.0,0.08129761093293447,1.2600855367223294e-12,0.0008410813903985317
RENATO AFONSO JUNIOR,CÂMPUS INHUMAS,6,0.007444168734491315,0.000807650824093376,0.15550235518431793,0.007654558503061366,0.0008479336628469051
Ricardo Henrique Fonseca Alves,CÂMPUS GOIÂNIA,1,0.0012406947890818859,0.0,0.12879585866854068,0.00010655522414728266,0.00043522134193902285
CLEBERSON PEREIRA ARRUDA,CÂMPUS GOIÂNIA OESTE,1,0.0012406947890818859,0.0,0.11164719658739232,5.396469178407354e-11,0.0003820713698339498
NICOLLI GODOI PEREIRA,CÂMPUS URUAÇU,2,0.0024813895781637717,0.006794440470342773,0.12554138340212148,3.5523939190984915e-09,0.0006519399102535876
BEATRIZ DOS SANTOS SIQUEIRA,CÂMPUS INHUMAS,1,0.0012406947890818859,0.0,0.13053005578033386,2.6922429738123015e-07,0.00025406665341528624
IRANI CAMILO DE SOUZA SILVA,CÂMPUS URUAÇU,1,0.0012406947890818859,0.0,0.1007513358304478,7.118350020049389e-10,0.0004573906476850829
Sandra Regina Longhin,REITORIA,1,0.0012406947890818859,0.0,0.09835783713217437,4.504122879993582e-14,0.00043723435827021086
Raissa Regis da Silva Santos,CÂMPUS APARECIDA DE GOIÂNIA,4,0.004962779156327543,0.0,0.10031903580290676,3.419000292443887e-13,0.0011094619487968986
Marly Rodrigues da Silva Souza,CÂMPUS APARECIDA DE GOIÂNIA,4,0.004962779156327543,0.0,0.10031903580290676,3.419000292443887e-13,0.0011094619487968986
MARIO TEIXEIRA LEMES,CÂMPUS FORMOSA,5,0.006203473945409429,0.005206294406855417,0.12293969064371067,0.0018062800024893318,0.0011367262454525916
VICTOR HUGO LAZARO LOPES,CÂMPUS INHUMAS,2,0.0024813895781637717,0.0,0.12282571688847856,0.001217817153355271,0.0005145433548229602
ERNANI VIANA DE SOUZA JUNIOR,CÂMPUS LUZIÂNIA,1,0.0012406947890818859,0.0,0.11683245733424945,1.4877409537371705e-09,0.0003613819355700534
LARISSA REZENDE ASSIS RIBEIRO,CÂMPUS VALPARAÍSO DE GOIÁS,6,0.007444168734491315,0.005444143692592708,0.14328191054474282,2.9269083080530843e-06,0.0010676937002986832
LETICIA MARIA DAMACENO SATELES ALVES,CÂMPUS INHUMAS,1,0.0012406947890818859,0.0,0.11281976152458603,1.1195284562561726e-11,0.0003249797553212722
ELENILSON DE VARGAS FORTES,CÂMPUS JATAÍ,1,0.0012406947890818859,0.0,0.0022332506203473945,6.0459555065801565e-25,0.0004776177007675247
RICARDO BARBOSA SCALABRINI,CÂMPUS URUAÇU,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
MICHELE SIQUEIRA,CÂMPUS ANÁPOLIS,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
LETICIA CHAVES FONSECA,CÂMPUS VALPARAÍSO DE GOIÁS,1,0.0012406947890818859,0.0,0.002977667493796526,9.382666391442643e-26,0.000638204187929964
Aniela Pilar Campos de Melo Campos de Melo,CÂMPUS CIDADE DE GOIÁS,1,0.0012406947890818859,0.0,0.0071464019851116625,7.182930523108042e-16,0.00216657304451981
C. J. Silva,CÂMPUS INHUMAS,1,0.0012406947890818859,0.0,0.0016542597187758478,1.0464892836242116e-27,0.0012072827803588915
TASSIA GALVAO ARAUJO,REITORIA,1,0.0012406947890818859,0.0,0.0016542597187758478,7.853422887083195e-30,0.0009519304867561574
CLEIDE PIRES MACHADO,CÂMPUS GOIÂNIA,5,0.006203473945409429,0.010357104326248786,0.07903440442456088,3.5328685978012147e-15,0.0015025628040574905
VANDERLEIDA ROSA DE FREITAS E QUEIROZ,CÂMPUS GOIÂNIA,2,0.0024813895781637717,0.0,0.12207125916803337,5.676498521550772e-10,0.000694922290994267
LUCAS HOFFMANN GREGHI KALINKE,CÂMPUS ANÁPOLIS,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
